coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,0,2,39275,2,2,11,3,12,1,1,6,0
1,2,2,39275,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,49446,2,2,11,3,16,1,1,11,0
1,2,2,49446,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,56845,2,2,11,3,13,1,1,8,0
1,2,2,56845,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,42745,2,2,11,1,-1,1,1,6,0
1,2,2,42745,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,52838,2,2,11,1,-1,1,1,11,0
1,2,2,52838,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,37814,2,2,11,1,-1,1,1,8,0
1,2,2,37814,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,2520,2,2,11,2,433,1,1,6,1
1,2,2,2520,1,1,8,65,-1,2,2,6,0
1,0,2,49180,2,2,11,1,-1,1,1,6,0
1,2,2,49180,-1,-1,-1,69,433,-1,-1,-1,0
1,0,2,47665,2,2,11,1,-1,1,1,11,0
1,2,2,47665,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,992,2,2,11,1,-1,1,1,8,0
1,2,2,992,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,35968,2,2,11,3,12,1,1,6,0
1,2,2,35968,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,45390,2,2,11,3,16,1,1,11,0
1,2,2,45390,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,6964,2,2,11,3,13,1,1,8,0
1,2,2,6964,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,44351,2,2,11,2,287,1,1,6,1
1,2,2,44351,1,1,8,65,-1,2,2,6,0
1,0,2,7199,2,2,11,3,12,1,1,6,0
1,2,2,7199,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,58902,2,2,11,2,395,1,1,6,1
1,2,2,58902,1,1,8,65,-1,2,2,6,0
1,0,2,35961,2,2,11,1,-1,1,1,6,0
1,2,2,35961,-1,-1,-1,69,395,-1,-1,-1,0
1,0,2,55401,2,2,11,1,-1,1,1,11,0
1,2,2,55401,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,57559,2,2,11,1,-1,1,1,8,0
1,2,2,57559,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,52527,2,2,11,2,413,1,1,6,1
1,2,2,52527,1,1,8,65,-1,2,2,6,0
1,0,2,46986,2,2,11,3,16,1,1,11,0
1,2,2,46986,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,29225,2,2,11,2,527,1,1,6,1
1,2,2,29225,1,1,8,65,-1,2,2,6,0
1,0,2,48333,2,2,11,3,13,1,1,8,0
1,2,2,48333,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,31167,2,2,11,3,12,1,1,6,0
1,2,2,31167,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,20908,2,2,11,1,-1,1,1,6,0
1,2,2,20908,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,45185,2,2,11,1,-1,1,1,11,0
1,2,2,45185,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,12484,2,2,11,1,-1,1,1,8,0
1,2,2,12484,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,29456,2,2,11,2,401,1,1,6,1
1,2,2,29456,1,1,8,65,-1,2,2,6,0
1,0,2,14588,2,2,11,3,16,1,1,11,0
1,2,2,14588,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,47717,2,2,11,1,-1,1,1,6,0
1,2,2,47717,-1,-1,-1,69,401,-1,-1,-1,0
1,0,2,16942,2,2,11,1,-1,1,1,11,0
1,2,2,16942,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,2415,2,2,11,1,-1,1,1,8,0
1,2,2,2415,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,28016,2,2,11,1,-1,1,1,6,0
1,2,2,28016,-1,-1,-1,69,401,-1,-1,-1,0
1,0,2,52345,2,2,11,1,-1,1,1,11,0
1,2,2,52345,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,42823,2,2,11,1,-1,1,1,8,0
1,2,2,42823,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,62086,2,2,11,3,13,1,1,8,0
